judul;label
PERANCANGAN SISTEM PENJADWALAN UJIANMENGGUNAKAN ALGORITMA GENETIKA PADASTMIK AMIKOM PURWOKERTO;sistem operasi dan jaringan
Image Processing dan Artifical Neural Network Untuk Mengenali Nomor Induk Kependudukan Pada KTP Sebagai Pendukung Layanan Mandiri di Kantor Desa;grafik
Implementasi Business Intelligence untuk Menganalisis Data Persalinan Anak di Klinik Ani Padang dengan Menggunakan Aplikasi Tableau Public;artificial intelligance dan robotik
PENERAPAN ALGORITMA DIJKSTRA DAN PRIM PADA PENDISTRIBUSIAN AIR DI PDAM KABUPATEN DEMAK;algoritma dan struktur data
Sistem Penjadwalan Perkuliahan Pada Universitas Musamus Menggunakan Algoritma Genetika Berbasis Web;sistem operasi dan jaringan
Analisis Perbandingan Kinerja Protokol Routing DSDVdan OLSR Untuk Perubahan Kecepatan Mobilitas padaStandar IEEE 802.11ah;sistem operasi dan jaringan
Analisis Probabilitas Gempa Dengan Metode Gaussian Dan Besarnya Nilai Peak Ground Acceleration (PGA) Yang Berpengaruh Di Wilayah YOGYAKARTA;algoritma dan struktur data
Analisis Perbandingan Performasi Protokol RoutingAODV Dan DSR Pada Mobile Ad-Hoc Network(MANET);sistem operasi dan jaringan
ANALISIS TEKSTUR PADA CITRA MOTIF BATIK UNTUK KLASIFIKASI MENGGUNAKAN K-NN;grafik
Analisis Implementasi Low Cost Cluster- High Performance Computing;algoritma dan struktur data
RANCANGAN TEKNOLOGI VIRTUALISASI UNTUK OPTIMALISASI SERVER DI UNIVERSITAS ASAHAN;sistem operasi dan jaringan
PENERAPAN DATA MININGPADA PERUSAHAAN RITAIL PAKAIAN UNTUK MEMPREDIKSI KETERSEDIAAN JENIS BARANG DENGAN MENGGUNAKAN ALGORITMA FP-GROWTH;artificial intelligance dan robotik
SISTEM SKORING OTOMATIS UNTUK DATA JAWABAN ESAI DENGAN MENGGUNAKAN PENDEKATAN KOMPUTASI: CLUSTERING DAN CONVOLUTIONAL NEURAL;artificial intelligance dan robotik
ANALISIS KINERJA VIRTUALISAS SERVER MENGGUNAKAN PROXMOX VEPADA DISHUB KOMINFO SUMATERA SELATAN;sistem operasi dan jaringan
Implementasi Kriptografi Kunci Publik dengan Algoritma RSA-CRT pada Aplikasi Instant Messaging;algoritma dan struktur data
Pengkelasan Teks Hadis dalam Kitab ShahihBukhari berdasarkan kepada Perawi denganmenggunakan Teori Graf;algoritma dan struktur data
Identifikasi Citra Daun Menggunakan Morfologi, Local Binary Patterns dan Convex Hulls;grafik
Optimasi Penjadwalan Mata Pelajaran MenggunakanAlgoritma Genetika (Studi Kasus : SMPN 1 GondangMojokerto);sistem operasi dan jaringan
ANALISIS ALGORITMA FP-GROWTH UNTUK REKOMENDASI PRODUK PADA DATA RETAIL PENJUALAN PRODUK KOSMETIK (STUDI KASUS : MT SHOP KELAPA GADING);artificial intelligance dan robotik
